不倫する,不倫する,不倫,affair,不倫相手,不倫,,,,FALSE,,,0
二股する,二股する,二股,second_crotch,二股相手,二股,,,,,,,0
仲良くなる,仲良くなる,仲良し,a_good_friend,仲の良い異性,仲良し,,,,,,,3
両思いになる,両思いになる,両思い,bothersome,両思いの彼女,両思い,,,,,,,3
W不倫する,W不倫する,W不倫,w_affair,W不倫相手,W不倫,,,,,,,0
ワンナイトラブする,ワンナイトラブする,ワンナイトラブ,one_night_love,ワンナイトラブの相手,ワンナイトラブ,,sf,,,,,1
昼間会う,昼間会う,昼間の密会,daytime,密会相手,昼間の密会,,,,,,,1
電話で話す,電話で話す,電話,phone,電話友達,電話,,,,,,,3
初体験する,初体験する,初体験,first_experience,初体験相手,初体験,,,,,,,1
NTRプレイする,NTRプレイする,NTRプレイ,ntr_play,NTR相手,NTRプレイ,,,,,,,1
初セックスする,初セックスする,初セックス,first_sex,初セックスの相手,初セックス,,,,,,,1
筆おろしする,筆おろしする,筆おろし,brush,筆おろし相手,筆おろし,m,,,,,,1
痴漢プレイする,痴漢プレイする,痴漢プレイ,pervert_play,痴漢パートナー,痴漢プレイ,m,,,,,,1
中出しする,中出しする,中出し,creampie,中出し相手,中出し,,,,,,,1
制服プレイする,制服プレイする,制服プレイ,uniform_play,制服プレイの相手,制服プレイ,,,,,,,1
媚薬セックスする,媚薬セックスする,媚薬セックス,glaze_sex,媚薬セックスの相手,媚薬セックス,,,,,,,1
射精管理してもらう,射精管理してもらう,射精管理,cumshot_management,射精管理者,射精管理,,,に,,,,1
ハメ撮りする,ハメ撮りする,ハメ撮り,goning,ハメ撮り相手,ハメ撮り,,,,,,,1
青姦する,青姦する,青カン,blue_can,青カン相手,青カン,,,,,,,1
素股する,素股する,素股,intercourse,素股してくれる女性,素股,m,,,,,,1
乱交する,乱交する,乱交,orgy,乱交パートナー,乱交,,,,,,,1
セクハラプレイする,セクハラプレイする,セクハラプレイ,sexual_harassment,セクハラ相手,セクハラプレイ,,,,,,,1
顔面騎乗してもらう,顔面騎乗してもらう,顔面騎乗,sitting_up,顔面騎乗女子,顔面騎乗,,,に,,,,1
パイズリしてもらう,パイズリしてもらう,パイズリ,paizuri,パイズリ巨乳女子,パイズリ,,,に,,,,1
カーセックスする,カーセックスする,カーセックス,car_sex,カーセックス好き,カーセックス,,,,,,,1
オフパコする,オフパコする,オフパコ,off-park,オフパコ好き,オフパコ,,,,,,,1
生パコする,生パコする,生パコ,paca,生パコ相手,生パコ,,,,,,,1
複数プレイする,複数プレイする,複数プレイ,multiple_play,複数プレイ相手,複数プレイ,,,,,,,1
痴漢ごっこする,痴漢ごっこする,痴漢プレイ,pervert_play2,痴漢パートナー,痴漢プレイ,,,,,,,1
オナニー鑑賞する,オナニー鑑賞する,オナニー鑑賞,masturbation_appreciation,オナニー好き,オナニー鑑賞,,,,,,,1
タダマンする,タダマンする,タダマン,tadaman,タダマンの相手,タダマン,,,,,,,1
宅飲みセックスする,宅飲みセックスする,宅飲みセックス,house_tort-free_sex,宅飲みセックスの相手,宅飲みセックス,,,,,,,1
3Pする,3Pする,3P,3p,3Pパートナー,3P,,,,,,,1
浮気する,浮気する,浮気,flirt,浮気相手,浮気,,,,,,,0
エロメールする,エロメールする,エロメール,ero_mail,エロメール相手,エロメール,,,,,,,1
チャットエッチする,チャットエッチする,チャットエッチ,chat_etch,チャエッチ相手,チャエッチ,,,,,,,1
メールエッチする,メールエッチする,メールエッチ,e-mail_etch,メールエッチ相手,メールエッチ,,,,,,,1
テレフォンセックスする,テレフォンセックスする,テレフォンセックス,telephone_sex,テレフォンセックス相手,テレフォンセックス,,,,,,,1
童貞を捨てる,童貞を捨てる,童貞卒業,graduation,童貞卒業させてくれる女性,童貞卒業,m,,,,,,1
エッチメールする,エッチメールする,エッチメール,etch_email,エッチメール相手,エッチメール,,,,,,,1
孕ませる,孕ませる,孕ませセックス,sex,孕ませセックス相手,孕ませセックス,m,,を,,,,1
SMプレイする,SMプレイする,SMプレイ,sm_play,SMパートナー,SMプレイ,,,,,,,1
飲み会する,飲み会する,飲み会,drinking_party,飲み仲間,飲み会,,,,,,,3
サシ呑みする,サシ呑みする,サシ呑み,drunk,サシ呑み相手,サシ呑み,,,,,,,3
キスする,キスする,キス,kiss,キス相手,キス,,,,,,,3
ペッティングする,ペッティングする,ペッティング,petting,ペッティング相手,ペッティング,,,,,,,1
指マンする,指マンする,指マン,finger_man,指マン好き,指マン,,,,,,,1
潮吹きさせる,潮吹きさせる,潮吹き,squirting,潮吹き女子,潮吹き,,,を,,,,1
玩具プレイする,玩具プレイする,玩具プレイ,toy_play,玩具好き,玩具プレイ,,,,,,,1
クンニする,クンニする,クンニ,cunnilingus,クンニ好き,クンニ,,,て,,,,1
フェラチオしてもらう,フェラチオしてもらう,フェラチオ,blowjob,フェラチオ名人,フェラチオ,m,,に,,,,1
割り切りする,割り切りする,割り切り,division,割り切り女子,割り切り,,sf,,,,,0
援助交際する,援助交際する,援交,support,援交女子,援交,,sf,,,,,0
パパ活する,パパ活する,パパ活,dad,パパ活女子,パパ活,,sf,,,,,0
ママ活する,ママ活する,ママ活,mommy,ママ活女性,ママ活,,sf,,,,,0
結婚する,結婚する,結婚,marriage,結婚相手,結婚,,sf,,,,,3
婚活する,婚活する,婚活,marriage_activity,婚活対象,婚活,,sf,,,,,3
彼女を作る,彼女を作る,彼女探し,her,彼女,彼女探し,m,sf,,,,,3
交際する,交際する,交際,dating,交際相手,交際,,sf,,,,,3
恋愛する,恋愛する,恋愛,love,恋人,恋愛,,sf,,,,,3
告白する,告白する,告白,confession,告白対象,告白,,sf,,,,,3
失恋する,失恋する,失恋,broken_heart,失恋相手,失恋,,sf,,,,,3
出会う,出会う,出会い,encounter,出会いの相手,出会い,,sf,,,,,3
セフレを作る,セフレを作る,セフレ探し,search_for_saffle,セフレ,セフレ探し,,sf,,,,,1
恋活する,恋活する,恋活,lover,恋活対象,恋活,,sf,,,,,3
メールする,メールする,メール,email,メール相手,メール,,,,,,,3
純粋なメル友を作る,純粋なメル友を作る,純粋なメル友探し,pure_mel_friend_look,純粋なメル友,純粋なメル友探し,,sf,,,,,3
女友達を作る,女友達を作る,女友達探し,female_friend_look,女友達,女友達探し,m,sf,,,,,3
趣味友を作る,趣味友を作る,趣味友探し,find_hobbies_friend,趣味友,趣味友探し,,sf,,,,,3
ゲーム仲間を作る,ゲーム仲間を作る,ゲーム仲間探し,look_for_game_companions,ゲーム仲間,ゲーム仲間探し,,sf,,,,,3
オタ話する,オタ話する,オタ友探し,looking_for_friends,オタ友,オタ友探し,,,,,,,3
飲み友達を作る,飲み友達を作る,飲み友達探し,looking_for_a_drinking_friend,飲み友達,飲み友達探し,,sf,,,,,3
親友を作る,親友を作る,親友探し,look_for_a_close_friend,親友,親友探し,,sf,,,,,3
恋バナする,恋バナする,恋バナ,love_flower,恋バナ相手,恋バナ,,,,,,,3
会話する,会話する,会話,conversation,話し相手,会話,,,,,,,3
雑談する,雑談する,雑談,chat,雑談相手,雑談,,,,,,,3
男友達を作る,男友達を作る,男友達探し,friend_search,男友達,男友達探し,w,sf,,,,,3
彼氏を作る,彼氏を作る,彼氏探し,looking_for_a_boyfriend,彼氏,彼氏探し,w,sf,,,,,3
寝取る,寝取る,寝取り,cuckold,寝取り相手,寝取り,,,を,,,,1
寝取られる,寝取られる,ネトラレ,netrale,ネトラレ対象,ネトラレ,,,に,,,,1
再婚する,再婚する,再婚,reigning,再婚相手,再婚,,,て,,,,3
復縁する,復縁する,復縁,recovery,元の恋人,復縁,,,て,,,,3
マッチングする,マッチングする,マッチング,matching,マッチング相手,マッチング,,sf,,,,,3
同棲する,同棲する,同棲,homogeneous,同棲相手,同棲,,,,,,,3
婚外恋愛する,婚外恋愛する,婚外恋愛,marrying_love,婚外恋愛の相手,婚外恋愛,,,,,,,1
コスプレセックスする,コスプレセックスする,コスプレセックス,cosplay_sex,コスプレセックス好き,コスプレセックス,,,,,,,1
デートする,デートする,デート,dating2,デート相手,デート,,,,,,,3
面接する,面接する,出会い面接,encounter_interview,面接相手,出会い面接,,,,,,,3
待ち合わせする,待ち合わせする,待ち合わせ,meeting,待ち合わせ相手,待ち合わせ,,sf,,,,,3
即ヤリする,即ヤリする,即ヤリ,immediate,即ヤリできる異性,即ヤリ,,,,,,,1
ヤリモクで会う,ヤリモクで会う,ヤリモク,yarimok,ヤリモクの対象,ヤリモク,,,,,,,1
ネトナンする,ネトナンする,ネットナンパ,netnampa,ネットナンパのターゲット,ネットナンパ,,sf,,,,,1
オンラインデートする,オンラインデートする,オンラインデート,online_date,オンラインデート相手,オンラインデート,,,,,,,3
アブノーマルセックスする,アブノーマルセックスする,アブノーマルセックス,abs-normal_sex,アブノーマル女子,アブノーマルセックス,,,,,,,1
お持ち帰りする,お持ち帰りする,お持ち帰り,takeaway,お持ち帰り相手,お持ち帰り,,sf,,,,,1
朝チュンする,朝チュンする,朝チュン,chun,朝チュン相手,朝チュン,,,,,,,1
行きずりセックスする,行きずりセックスする,行きずりセックス,sliding_sex,行きずりセックス相手,行きずりセックス,,,,,,,1
ナンパする,ナンパする,ナンパ,pear,ナンパターゲット,ナンパ,,sf,,,,,1
やり捨てする,やり捨てする,やり捨て,discard,やり捨て相手,やり捨て,,sf,,,,,1
お泊まりセックスする,お泊まりセックスする,お泊まりセックス,stay_sex,お泊まりセックス相手,お泊まりセックス,,,,,,,1
通話する,通話する,通話,call,通話の相手,通話,,sf,,,,,3
サイト内電話する,サイト内電話する,サイト内電話,site_call,サイト内電話の対象,サイト内電話,,sf,,,,,3
アナルセックスする,アナルセックスする,AF,oh_f,アナル好き女子,AF,,,,,,,1
搾精してもらう,搾精してもらう,搾精,squeeze,搾精女子,搾精,,,に,,,,1
緊縛プレイする,緊縛プレイする,緊縛プレイ,bdsd_play,緊縛プレイ好き,緊縛プレイ,,,,,,,1
羞恥プレイする,羞恥プレイする,羞恥プレイ,shame_play,羞恥プレイ好き,羞恥プレイ,,,,,,,1
目隠しセックスする,目隠しセックスする,目隠しプレイ,blindfold_play,目隠し好き,目隠しプレイ,,,,,,,1
赤ちゃんプレイする,赤ちゃんプレイする,赤ちゃんプレイ,baby_play,赤ちゃんプレイ好き,赤ちゃんプレイ,,,,,,,1
ラインする,ラインする,ライントーク,line_tank,ライントーク相手,ライントーク,,,,,,,3
連絡先交換する,連絡先交換する,連絡先交換,contact_exchange,連絡先交換の相手,連絡先交換,,,,,,,3
ラインID交換する,ラインID交換する,ラインID交換,line_id_exchange,ラインID交換相手,ラインID交換,,,,,,,3
メールアドレスを聞く,メールアドレスを聞く,メアド交換,mead_exchange,メアド交換の相手,メアド交換,,,,,,,3
会話を楽しむ,会話を楽しむ,会話,conversation2,会話相手,会話,,,,,,,3
アナル舐めしてもらう,アナル舐めしてもらう,アナル舐め,anal_licking,アナル舐めOK女子,アナル舐め,,,に,,,,1
しゃぶってもらう,しゃぶってもらう,おしゃぶり,pacifier,おしゃぶり好き,おしゃぶり,,,に,,,,1
露出プレイする,露出プレイする,露出プレイ,exposure_play,露出プレイ好き,露出プレイ,,,,,,,1
焦らしプレイする,焦らしプレイする,焦らしプレイ,fit_play,焦らされ好き,焦らしプレイ,,,,,,,1
言葉責めする,言葉責めする,言葉責め,words_blame,言葉責め好き,言葉責め,,,,,,,1
イラマチオしてもらう,イラマチオしてもらう,イラマチオ,iramatio,イラマチオOK女子,イラマチオ,,,に,,,,1
添い寝する,添い寝する,添い寝,sleeping,添い寝好き,添い寝,,,,,,,1
ソフレを作る,ソフレを作る,ソフレ探し,softle_search,ソフレ,ソフレ探し,,sf,,,,,1
キスフレを作る,キスフレを作る,キスフレ探し,search_for_kiss,キスフレ,キスフレ探し,,sf,,,,,1
遠距離恋愛する,遠距離恋愛する,遠距離恋愛,long-distance_love,遠距離の恋人,遠距離恋愛,,,,,,,3
本命交際する,本命交際する,本命交際,lighthing,本命の恋人,本命交際,,,,,,,3
メール交換する,メール交換する,メール交換,mail_exchange,メール友達,メール交換,,,,,,,3
彼氏募集する,彼氏募集する,彼氏募集,recruitment_of_boyfriend,彼氏,彼氏募集,,,,,,,3
彼女募集する,彼女募集する,彼女募集,she_recruited,彼女,彼女募集,,,,,,,3
逆援交する,逆援交する,逆援交,backing,逆援交の相手,逆援交,,,,,,,0
車内フェラしてもらう,車内フェラしてもらう,車内F,in_the_car,車内F好き,車内F,,,に,,,,1
F割りする,F割りする,フェラ割り,blow-off,フェラ割り募集女子,フェラ割り,,sf,,,,,0
大人の関係になる,大人の関係になる,大人の関係,adult_relationship,大人の関係の相手,大人の関係,,,,,,,1
大人の交際をする,大人の交際をする,大人の交際,adult_dating,大人の交際の相手,大人の交際,,,,,,,1
愛人を作る,愛人を作る,愛人作り,lovers,愛人,愛人関係,,sf,,,,,0
即会いする,即会いする,即会い,promise,即会いできる人,即会い,,,,,,,1
秘密の関係になる,秘密の関係になる,秘密の関係,secret_relationship,秘密の恋人,秘密の関係,,,,,,,1
秘密の交際をする,秘密の交際をする,秘密の交際,secret_relationship2,秘密の交際相手,秘密の交際,,,,,,,1
割り切った交際をする,割り切った交際をする,割り切り交際,division2,割り切った相手,割り切り交際,,,,,,,1
大人の恋愛をする,大人の恋愛をする,大人の恋愛,adult_love,大人の恋人,大人の恋愛,,,,,,,1
ヤリまくる,ヤリまくる,ヤリまくり,irregular,ヤリまくれる相手,ヤリまくり,,,,,,,1
定期で会う,定期で会う,定期の交際,periodic_relationship,定期さん,定期,,,,,,,1
カラオケに行く,カラオケに行く,カラオケ,karaoke,カラオケ相手,カラオケ仲間,,,,,,,3
不貞行為する,不貞行為する,不貞行為,unfair_act,不貞の相手,不貞関係,,,,,,,1
